,0,1,2,3,4,5,6,7
0,10.0,8877814.070780393,10957980.08463939,11012357.89588118,10676775.576165527,9407127.38071315,13621109.037757106,7801492.402561273
1,12.0,27267713.582141303,27092524.969961785,6019820.575504116,7911600.573134463,7780608.58048269,4042375.55017374,336918443.45433235
2,15.0,447690574.2322867,159186095.873829,78706705.96112172,90817371.76101844,44780629.778560564,10640189.262963895,7315542.09459979
3,16.0,8374232.846272519,21020654.16318974,14412471.46716062,10116237.216344789,7281122.1424950175,16658040.904236384,12246343.364359187
4,18.0,102955815.62924363,19059645.27852693,51744319.78519534,104889218.44747767,57435130.93541536,14620779.725642238,7331197.006756549
5,22.0,12202227.0206515,15136666.782773493,8317049.936259894,3996742.6066350015,4038974.7045510113,5832925.805784168,3282064.7058258513
6,26.0,21548705.833836317,32786865.854802676,30305159.49107497,14576270.16129367,20925787.894894376,26821540.711316414,16268855.489184037
7,27.0,8728286.82295179,9509114.696100399,4613363.625060955,2823283.4390258784,2770561.7701385594,5576768.806846401,5374337.049103254
8,29.0,4350632.673701867,5489467.020203943,4485405.762836947,3774269.380158413,4754379.221214645,7386029.83291233,4543601.693225476
9,31.0,8560215520.833233,6816183980.470478,145432725.7265366,27054277.116243593,10880063.665431345,13864660.881237485,6565793.131762997
10,32.0,921486552.2314067,310699765.049235,40627649.3046994,37828763.97235419,38542828.468194425,36252052.25419837,32415012.603789374
11,33.0,20402097.880061224,30071552.708377935,13415166.79759669,26023712.42463423,28761941.147120588,9772441.449804304,6347540.366960019
12,35.0,5066161.219907333,4740757.492750511,3113672.186913033,2883175.411545963,3468981.235214195,3452875.87694243,1540462.2605691482
13,4.0,958752324.7374532,1264291831.0053833,1371020287.2978234,2026508939.3252435,2087254701.8279865,287797337.81025326,229964847.63952106
14,42.0,13892337.984281976,12314668.820333462,7779744.242009812,4943473.640021737,7767844.451673927,5464855.271558111,2174889.5625426206
15,45.0,107440960.01745622,140098343.34285468,36153300.858998746,12800404.471360795,9190836.310349267,4953603.025510011,2837571.7653816855
16,47.0,80980205.98125398,15273213.182565466,42846155.11037649,60949160.46109398,25910845.095758274,15707692.808969326,4698594.3363861665
17,48.0,31460902.93162423,16916375.076007772,16258597.189687207,15983440.031620646,11285266.784709329,5007125.38199676,4723006.537190211
18,49.0,11724002.517390907,4615046.781599447,3252065.9469526047,3858381.061268246,5866025.968744317,5822839.27566132,1932450.6489082475
19,54.0,8316250.356321555,5042382.816375555,6321400.8189088395,11599007.739498923,8677044.37019951,3695063.687381218,3462084.907101454
20,55.0,74400532.51065478,98559792.98449302,51522343.5474831,3621354.4308014694,76310025.75548387,84116107.06184223,8254831.819857337
21,6.0,19133134.847189546,16934552.398247637,10740392.295066612,18275540.339860894,30051642.05690442,23620911.94966896,5546201.42414818
22,66.0,4298677.0771264555,4910560.377565663,3033545.194893904,4232153.877755831,3457228.477725005,2103875.8964900626,1096894.3660654
23,69.0,14350512.070626646,13096240.952590315,10106415.221841533,11739066.291785728,13330144.413722102,14683774.721619444,9319634.063895762
24,7.0,19921467.051175408,19845285.687974557,14946942.564962838,14407510.347704547,4704696.962698558,5063178.226884041,1819761.6457305916
25,8.0,2244787.0194664365,4823591.87281724,4269109.583168142,3050050.0752083757,4622861.901307052,3918248.241278302,1065094.2582444549
