,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,14.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,14.0,13.0,14.0,13.0,13.0,14.0,13.0,14.0,14.0,13.0,13.0,12.0,12.0,12.0,12.0
1,21.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0
2,23.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0
3,25.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,9.0,9.0,9.0,10.0
4,34.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
5,39.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,9.0,10.0,11.0,13.0,13.0,14.0,12.0,14.0,15.0,14.0,14.0,15.0,14.0,13.0,12.0,10.0,11.0,10.0,9.0,8.0,7.0,7.0,7.0
6,43.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,11.0
7,46.0,10.0,10.0,11.0,11.0,13.0,13.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,11.0,12.0,10.0,9.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,10.0,9.0,10.0,11.0,11.0
8,51.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,8.0,8.0,7.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,7.0
9,57.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71.0,9.0,10.0,9.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,12.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0
11,72.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0
12,77.0,8.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0,12.0,11.0,12.0,13.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,11.0,11.0,11.0
13,78.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,13.0,12.0,12.0,11.0,12.0,12.0,13.0
14,79.0,11.0,11.0,12.0,12.0,12.0,13.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,12.0
15,80.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0
16,82.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,13.0,13.0,13.0,12.0,12.0,10.0,10.0,9.0,9.0,9.0
17,83.0,10.0,9.0,10.0,9.0,8.0,10.0,11.0,11.0,10.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,7.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0
18,84.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,13.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,10.0
19,85.0,6.0,7.0,9.0,9.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0
20,87.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0
21,88.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0
22,89.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,7.0,7.0,7.0,7.0,6.0
23,91.0,6.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0
24,92.0,6.0,6.0,7.0,6.0,6.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,3.0,4.0,6.0,7.0,9.0,9.0,9.0,10.0,9.0
25,93.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
