,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,14.0,3327290.7457306013,4653464.204762816,4009822.1673349803,4876082.658261308,4505228.790690083,4059482.5520336246,4855337.885883212,5922581.757634252,6745764.653162889,6842599.718564945,9108393.722477846,8817757.720801394,8804729.033201817,9013421.128388502,7614868.490997231,9421033.520734906,8112138.493543937,7071579.878921203,6226506.037587255,5457062.865758582,5151654.755538909,2834161.1545238625,3423100.0171761676,4053419.5655202623,3801438.3847399033,4116023.117570407,3963424.9604087123,3622271.2232350903,3546984.8743196237,3570592.909698135,5417982.1963108,5600330.518717039,5015272.321250541,7900468.306492536,8165009.056429574,8963895.95772342,7985151.637444758,,,,,,,,,,
1,21.0,5990011.443628661,6046848.030621497,5769323.393076144,5450499.5062004905,3883594.650338414,2573759.072268608,2552279.3546932093,2366646.802363205,2031108.6397498306,1150790.0818545185,1201102.3663557852,1334752.0537564638,2657193.7172373715,2250894.683556072,3048875.8727177954,3860905.2438303474,4058794.808702361,3979902.811479431,4181523.4604860283,4845552.4276122255,4414101.836923576,4201023.529005111,4673682.997923026,3821163.1361995726,3931470.627778291,2728163.2295125583,2349790.8102773605,2751923.2290782277,2443100.7716438393,3030813.42347292,3013006.9039426506,2406038.0779388784,2340581.120858576,1954321.609331306,1953390.456546735,3081325.6775507317,2981664.524351728,,,,,,,,,,
2,23.0,86897783.7352323,87437376.5260797,86408480.95635656,78731766.21190104,3283114.7326654387,3420277.438849421,2311167.6929584057,2719694.095998354,6452425.260154925,2567561.9094492155,2495213.0104369954,3599741.0569719872,2638730.796384099,4271699.837363682,4108117.062860762,3896926.1934302873,3448221.66011051,5398601.044096317,4650945.651648642,4517827.3973020045,5483180.187459525,4839479.225480267,5408522.938085197,7315704.266589256,6619251.616935738,6273839.9187635165,5879644.155711273,6123280.965629229,5143052.281573627,8438493.849084571,8383482.260595021,8546041.590055797,8115332.811998926,7797930.532650773,7666291.302740718,5261362.210164348,5133995.196527754,,,,,,,,,,
3,25.0,6331184.870203726,4401642.09272541,5510163.142756187,5940300.336703559,5902799.375025371,4688717.377069419,5572033.426874141,4823013.386914385,4487962.169050692,4514673.205246565,4494777.051954955,4032503.1208609766,4092296.3628617944,3982147.9409066467,3587774.590306366,3135405.4249856207,3467412.7804337554,2713881.394766056,2767162.9187159305,4404997.385125861,7249957.51464308,7054607.002489489,6771945.871974366,7198816.275894476,7013217.472244516,9331117.642617164,12046468.831679616,12233520.890303548,13701033.032161795,14873246.480065057,14923624.43134293,11608337.17767576,12042506.031888895,12935483.770284098,16149777.07652549,16487516.661841707,12681028.789536823,,,,,,,,,,
4,34.0,4724646.048580836,2189898.3884592215,2755208.325619485,2144432.142866305,2736406.7766086226,2098937.1332949223,3198529.386574651,2505645.8875773214,2945189.8737699892,2032113.5215236326,2359453.137991332,1980966.6390187852,3438325.50136377,3825609.072955587,4846191.269621244,5218330.207348507,5551094.326541331,6895762.158558665,7018126.874592535,5420721.272129783,5819359.406426363,5090388.730734273,4891796.224439721,5948502.451525409,2205341.043785154,1429958.4711311422,1890746.9641024005,1832686.60684777,2424916.1213843664,2199952.630955797,2158020.5914851604,27273379.16145093,46247969.12248493,46823659.39447147,45255444.90500609,46937139.263519086,48044214.02533018,49507458.82324758,50035970.66490122,50419363.45333676,49679977.546243444,52436199.053815745,15510295.276219338,9565757.345855612,8951266.633499999,9374001.12876247,5470484.666876074
5,39.0,5957658.02760487,6120153.937590662,7569224.146417133,7606859.869397334,6615468.748551862,5929356.426967909,4793248.293020017,4484251.4083281765,4550761.272457339,4257284.608694713,3742266.9193628132,3376383.3370850976,3867763.9125032104,3819268.5469800793,3932676.0576774767,3443287.991831675,2905891.9102110756,2529165.400895454,2301073.950455335,2522788.2092558667,4215402.961052233,3665210.3759377906,3058592.4453113033,2385342.8726701895,2462886.907625407,2468096.610090779,2493496.965313416,2713800.2148076,2612632.864030625,2543047.0264844107,1864496.7039916124,1800399.2079392197,1791503.8492608315,1986896.8695024236,2339733.711800995,2067157.0714380962,2931738.4771003216,2884332.0067830035,2800587.563109533,2903642.6337527772,2831678.5264157783,3226494.14559741,2791507.6962973992,2601810.210808889,2611984.0951388218,2299008.136949087,1836925.3603566573
6,43.0,33636243.62280656,34044111.19634711,6189194.826010572,5984880.807396259,5605707.21880663,3402306.993909466,3095997.9736395516,2584721.089096004,2439509.2042417186,3279537.9748050664,3381939.618179986,4294274.734898789,3764887.6655065813,3820555.356694424,4465008.888907796,3641846.0246766927,3971938.4876277,3846870.339960942,5037123.029917553,5145141.335121822,5006093.360878845,6500710.003456762,3698041.8286452224,3531510.386499505,4663600.7845408525,4197787.24971046,4287377.7272574585,7506989.5708552655,7778238.3108339645,9450007.140384175,7685908.025195197,7885925.486490487,8641517.118138101,84821170.36576495,75134529.0501463,74603941.73296982,68656122.39891207,,,,,,,,,,
7,46.0,17563979.359525822,10985258.709948689,10720900.951199079,11883464.416772988,10082802.430599807,9808039.465514012,11018396.763602901,10019611.70688055,9907700.790022925,8606555.430931818,8492336.866653161,7667802.243931852,7474608.516732169,6354530.001867787,5660840.4998397175,5625742.669302859,5769326.00634396,5923206.697136503,6948219.878669994,6841155.077128045,7568611.46722621,7572704.1219104715,8588930.756514793,9112436.496745517,9212098.936643459,9422153.884988662,10908249.5142675,9325149.973170448,10034524.74020332,8131324.047630971,8179610.201420412,9213527.425242495,5672726.773586767,8777079.866637142,9353041.751528112,11182041.065651258,8793103.77078313,,,,,,,,,,
8,51.0,74948031.18174277,75427102.0105187,76981493.29562142,76492920.07793489,78018793.40641947,49205923.833209194,87763048.63503176,141569629.3390814,144837863.0653773,130990272.0523937,127984472.40608001,120269740.96855223,199118703.20949158,236456312.2804913,243457113.10290354,241902909.0314008,241975758.3725618,199471600.162498,123412986.06034087,114361965.78257006,116427207.46167433,116915553.99453294,114386926.34538403,12873505.797148608,2791458.3748479597,2327505.882948205,2374370.9534094865,2223162.661253502,1733852.3990252656,2489494.853295979,2258711.650221029,1904968.7616074027,2091098.216496014,3378535.141822447,4369679.917736175,5081226.397768531,5759698.76997285,8243398.349918811,10090392.643628025,13838611.07131208,15559580.655107688,15293038.366434265,15829892.545590047,16394620.378099374,13656936.78672962,17055159.132867623,40909305.09033446
9,57.0,15313119.071807193,12366758.345620686,12237816.372999042,7361908.1769107,4129212.4253621995,3948461.3788457923,3267915.6470749043,3548445.9804835655,3246295.517633146,3016448.6945368806,3397905.252967586,2886900.548608172,2813851.5163351875,3147627.7148162886,4043333.097961316,6643987.623953273,6193935.812962709,7493619.062775868,10567826.44691758,13829634.586319303,12967992.22762912,14991191.936040092,13589336.21955365,13419938.153952483,11835921.037144475,10141281.568012534,9588654.29374358,9571378.856416889,9232919.326283362,6858072.46298481,4317484.803679736,4297263.248053549,2898404.775361825,4869692.701770577,6146957.387757897,5838966.621666909,5998988.186696935,7023628.175163333,6327682.047725991,5828521.63778641,6088952.721178403,5690528.046685181,6613563.249953012,7208517.149695521,3251766.428864248,3198047.3455900783,4611726.903008758
